input_decimal,input_hex,fpga_result_hex,latency_seconds,latency_ms
588,0x024C,0x183F,0.007890,7.890
589,0x024D,0x1844,0.007170,7.170
590,0x024E,0x1849,0.007944,7.944
591,0x024F,0x184E,0.007975,7.975
592,0x0250,0x1854,0.008011,8.011
593,0x0251,0x1859,0.008236,8.236
594,0x0252,0x185E,0.007581,7.581
595,0x0253,0x1863,0.007073,7.073
596,0x0254,0x1869,0.007891,7.891
597,0x0255,0x186E,0.007189,7.189
598,0x0256,0x1873,0.007939,7.939
599,0x0257,0x1878,0.007985,7.985
600,0x0258,0x187E,0.007861,7.861
601,0x0259,0x1883,0.007097,7.097
602,0x025A,0x1888,0.007819,7.819
603,0x025B,0x188D,0.007110,7.110
604,0x025C,0x1892,0.007998,7.998
605,0x025D,0x1898,0.008046,8.046
606,0x025E,0x189D,0.007819,7.819
607,0x025F,0x18A2,0.007018,7.018
608,0x0260,0x18A7,0.007979,7.979
609,0x0261,0x18AC,0.007133,7.133
610,0x0262,0x18B2,0.007944,7.944
611,0x0263,0x18B7,0.008025,8.025
612,0x0264,0x18BC,0.008105,8.105
613,0x0265,0x18C1,0.007996,7.996
614,0x0266,0x18C6,0.007688,7.688
615,0x0267,0x18CB,0.007253,7.253
616,0x0268,0x18D1,0.007888,7.888
617,0x0269,0x18D6,0.008166,8.166
618,0x026A,0x18DB,0.007631,7.631
619,0x026B,0x18E0,0.008113,8.113
620,0x026C,0x18E5,0.007835,7.835
621,0x026D,0x18EA,0.007017,7.017
622,0x026E,0x18EF,0.007033,7.033
623,0x026F,0x18F5,0.007925,7.925
624,0x0270,0x18FA,0.007979,7.979
625,0x0271,0x18FF,0.007290,7.290
626,0x0272,0x1904,0.007668,7.668
