Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
10836,104.0961,104.0820,0.014078,3.60 LSB,FAIL
10837,104.1009,104.0859,0.014975,3.83 LSB,FAIL
10838,104.1057,104.0938,0.011966,3.06 LSB,FAIL
10839,104.1105,104.0977,0.012862,3.29 LSB,FAIL
10840,104.1153,104.1016,0.013758,3.52 LSB,FAIL
10841,104.1201,104.1055,0.014654,3.75 LSB,FAIL
10842,104.1249,104.1133,0.011644,2.98 LSB,FAIL
10843,104.1297,104.1172,0.012539,3.21 LSB,FAIL
10844,104.1345,104.1211,0.013435,3.44 LSB,FAIL
10845,104.1393,104.1250,0.014330,3.67 LSB,FAIL
10846,104.1441,104.1328,0.011318,2.90 LSB,FAIL
10847,104.1489,104.1367,0.012213,3.13 LSB,FAIL
10848,104.1537,104.1406,0.013108,3.36 LSB,FAIL
10849,104.1585,104.1445,0.014002,3.58 LSB,FAIL
10850,104.1633,104.1484,0.014896,3.81 LSB,FAIL
10851,104.1681,104.1562,0.011883,3.04 LSB,FAIL
10852,104.1729,104.1602,0.012777,3.27 LSB,FAIL
10853,104.1777,104.1641,0.013670,3.50 LSB,FAIL
10854,104.1825,104.1680,0.014563,3.73 LSB,FAIL
10855,104.1873,104.1758,0.011550,2.96 LSB,FAIL
10856,104.1921,104.1797,0.012443,3.19 LSB,FAIL
10857,104.1969,104.1836,0.013335,3.41 LSB,FAIL
10858,104.2017,104.1875,0.014227,3.64 LSB,FAIL
10859,104.2065,104.1953,0.011213,2.87 LSB,FAIL
10860,104.2113,104.1992,0.012105,3.10 LSB,FAIL
10861,104.2161,104.2031,0.012997,3.33 LSB,FAIL
10862,104.2209,104.2070,0.013888,3.56 LSB,FAIL
10863,104.2257,104.2109,0.014779,3.78 LSB,FAIL
10864,104.2305,104.2188,0.011764,3.01 LSB,FAIL
10865,104.2353,104.2227,0.012654,3.24 LSB,FAIL
10866,104.2401,104.2266,0.013545,3.47 LSB,FAIL
10867,104.2449,104.2305,0.014435,3.70 LSB,FAIL
10868,104.2497,104.2383,0.011419,2.92 LSB,FAIL
10869,104.2545,104.2422,0.012309,3.15 LSB,FAIL
10870,104.2593,104.2461,0.013198,3.38 LSB,FAIL
10871,104.2641,104.2500,0.014088,3.61 LSB,FAIL
10872,104.2689,104.2539,0.014977,3.83 LSB,FAIL
10873,104.2737,104.2617,0.011960,3.06 LSB,FAIL
10874,104.2785,104.2656,0.012848,3.29 LSB,FAIL
10875,104.2833,104.2695,0.013737,3.52 LSB,FAIL
10876,104.2881,104.2734,0.014625,3.74 LSB,FAIL
